model,task,from_lang,to_lang,success,valid,codebleu,bleu,meteor,rouge1,rouge2,rougeL,rougeLsum,chrF,ter,wer
magicoder7b,str_interp,py,c,1.0,1.0,0.3753155358451257,0.27895118023111604,0.7334963325183375,0.42622950819672134,0.23728813559322035,0.3278688524590164,0.42622950819672134,49.6935267978834,163.1578947368421,1.7777777777777777
codeqwen,logic_ops,c,cpp,1.0,1.0,0.5021711491458145,0.5137972991508382,0.6660386057297424,0.5892857142857143,0.4000000000000001,0.5714285714285714,0.5892857142857143,48.28399085748691,64.28571428571429,0.6545454545454545
yicoder9b,str_substring,py,c,1.0,1.0,0.13436996407409346,0.10283129397837339,0.20860755628382394,0.28095238095238095,0.057416267942583726,0.14285714285714288,0.27142857142857146,26.916722705912072,89.24731182795699,0.9044117647058824
yicoder2b,int_cmp,c,rs,1.0,1.0,0.5882134386675539,0.4837522361123843,0.5522381618789706,0.5698324022346368,0.4406779661016949,0.5698324022346368,0.5698324022346368,57.99240369995693,68.35443037974683,0.7051282051282052
stablecode,file_size,c,rs,1.0,0.0,0.29899803832771915,0.11756217250633744,0.2412349381875543,0.25316455696202533,0.051948051948051945,0.22784810126582278,0.25316455696202533,21.22993508076396,86.20689655172413,0.8867924528301887
yicoder9b,bit_ops,py,go,1.0,0.0,0.23860238978392856,0.2081296411826535,0.381725136250317,0.12568306010928962,0.03846153846153846,0.10382513661202186,0.12568306010928962,30.796296255361238,233.65384615384616,2.343137254901961
magicoder7b,dir_make,java,go,1.0,1.0,0.3333333333333333,0.03360369702269111,0.1863354037267081,0.0,0.0,0.0,0.0,19.41689633760779,2450.0,23.0
dolphincoder7b,int_factors,c,java,1.0,1.0,0.23059164955376674,0.0,0.27699996363466345,0.11152416356877323,0.0149812734082397,0.10408921933085502,0.11152416356877323,21.810059556912346,589.1891891891892,6.257142857142857
yicoder2b,int_arith,go,rs,1.0,0.0,0.47885046808422155,0.35213754893301885,0.6188253481068466,0.5194805194805194,0.32894736842105265,0.5064935064935066,0.5194805194805194,51.65886208563188,110.9090909090909,1.1296296296296295
codegemma7b,str_cmp,cpp,c,1.0,1.0,0.1381199269772828,0.07492956932170383,0.14343414384107694,0.12320328542094457,0.024742268041237112,0.09034907597535934,0.1108829568788501,19.613211962562872,96.57320872274143,0.9736842105263158
codellama7b,logic_ops,java,c,1.0,0.0,0.4453952069575836,0.5446828150840448,0.8828123730674337,0.4727272727272727,0.1509433962264151,0.4727272727272727,0.4727272727272727,56.70088546547617,60.71428571428571,0.6296296296296297
codegeex4,bit_ops,py,js,1.0,1.0,0.2866435027192173,0.03408539880891054,0.29855510958746084,0.08184143222506393,0.015424164524421594,0.07672634271099743,0.07672634271099743,12.795197216908443,447.82608695652175,4.4411764705882355
dolphincoder7b,str_substring,go,java,1.0,1.0,0.2386878882063358,0.08932672355098155,0.2901220562214367,0.13903743315508021,0.021621621621621623,0.11764705882352942,0.13903743315508021,36.353511286602505,205.17241379310346,2.4285714285714284
yicoder9b,str_interp,go,cpp,1.0,1.0,0.35629734187796464,0.21813018850077365,0.5103708934923624,0.34343434343434337,0.12371134020618554,0.303030303030303,0.34343434343434337,45.42515879652269,154.2857142857143,1.696969696969697
codegemma7b,str_append,java,go,1.0,1.0,0.33751329741283054,0.14390513167022229,0.3989276139410188,0.48484848484848486,0.2580645161290323,0.48484848484848486,0.48484848484848486,41.7431235093202,64.70588235294117,0.6666666666666666
yicoder9b,str_match,js,java,1.0,1.0,0.17266453162487572,0.0,0.2016806722689076,0.03546099290780142,0.0,0.03546099290780142,0.03546099290780142,20.785336832185198,889.2857142857142,11.363636363636363
dolphincoder7b,str_concat,py,rs,1.0,1.0,0.47912873622196306,0.16717484320941917,0.6019209851962466,0.25287356321839083,0.07058823529411765,0.22988505747126434,0.25287356321839083,43.22631167604524,305.2631578947369,3.2222222222222223
yicoder9b,str_prepend,c,py,1.0,1.0,0.372833289999594,0.0,0.21081349206349212,0.16129032258064516,0.0,0.16129032258064516,0.16129032258064516,14.830116575155364,200.0,2.3125
granitecode3b,str_concat,c,cpp,1.0,0.0,0.3257713804334707,0.32026946873817824,0.5185185185185186,0.5060240963855421,0.2716049382716049,0.38554216867469876,0.5060240963855421,51.17900355373206,94.11764705882352,1.09375
deepseekcoder7b,file_exists,cpp,c,1.0,1.0,0.3832913276129505,0.34249667413324014,0.40641256621004573,0.29292929292929293,0.14285714285714285,0.23232323232323232,0.29292929292929293,44.72537274698602,84.84848484848484,0.967032967032967
deepseekcoder7b,str_match,rs,js,1.0,1.0,0.18250766911466293,0.0962922632430645,0.17429885831166647,0.15547703180212014,0.021352313167259787,0.11307420494699646,0.15547703180212014,27.505185638310675,94.9438202247191,0.9578313253012049
deepseekcoderv2,str_append,rs,cpp,1.0,1.0,0.3992032442588009,0.4332894264119997,0.7824166917891113,0.48387096774193544,0.36666666666666664,0.48387096774193544,0.48387096774193544,60.399879724309535,135.0,1.5
codegemma7b,logic_ops,cpp,rs,1.0,0.0,0.3189005795418449,0.18202403657110855,0.29316271963330787,0.38461538461538464,0.1842105263157895,0.3333333333333333,0.3333333333333333,29.20232151133798,76.36363636363637,0.7924528301886793
yicoder9b,str_match,java,rs,1.0,0.0,0.495894711547598,0.368170883491829,0.4597444547286916,0.48756218905472637,0.3316582914572864,0.42786069651741293,0.48756218905472637,49.82586045883915,88.77551020408163,0.9166666666666666
codellama7b,str_match,c,rs,1.0,1.0,0.28019851666538886,0.12657594984888457,0.28646314784001975,0.1642512077294686,0.03902439024390244,0.15458937198067632,0.1642512077294686,26.278035100170772,100.0,0.9895833333333334
codegeex4,str_prepend,cpp,py,1.0,1.0,0.20348833304934938,0.0,0.20623929714838804,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,14.977244575694955,100.0,1.0625
deepseekcoder7b,bit_ops,c,js,1.0,1.0,0.5839880958934329,0.39427378124330853,0.6951020728291316,0.5252525252525252,0.3877551020408163,0.5151515151515151,0.5151515151515151,49.19891939089987,115.94202898550725,1.1911764705882353
dolphincoder7b,str_append,java,rs,1.0,1.0,0.4745362959558304,0.30412654665052036,0.4968837597662075,0.4545454545454546,0.19047619047619052,0.40909090909090906,0.4545454545454546,38.40463254154899,65.38461538461539,0.75
granitecode3b,int_factors,java,cpp,1.0,0.0,0.16691744499137395,0.04877271026479572,0.20775623268698062,0.45238095238095233,0.21686746987951805,0.3214285714285714,0.45238095238095233,15.016931985572205,76.63551401869158,0.8712871287128713
codegeex4,file_create,java,c,1.0,0.0,0.4008814532957764,0.15075852005075469,0.3342493679334086,0.1452513966480447,0.03389830508474576,0.13407821229050282,0.1452513966480447,31.307731212650562,189.6551724137931,2.0
codegeex4,bit_ops,js,py,1.0,1.0,0.04589944712889453,1.12368372794114e-06,0.04557958276681055,0.07272727272727274,0.0218978102189781,0.06181818181818182,0.06545454545454545,3.5287937179331443,98.00399201596807,0.9660678642714571
deepseekcoder7b,str_interp,py,cpp,1.0,0.0,0.4226858472130849,0.33323998929562193,0.5720026841913873,0.3673469387755102,0.22916666666666666,0.3469387755102041,0.3673469387755102,48.91285858847292,137.14285714285714,1.393939393939394
codegemma7b,int_factors,js,c,1.0,0.0,0.1494298602263699,0.18946615162499544,0.2801827010873025,0.37689969604863227,0.14678899082568805,0.27355623100303955,0.37082066869300906,29.99142174555443,81.94444444444444,0.8246445497630331
granitecode8b,str_concat,java,py,1.0,1.0,0.230041339480972,0.0470284773452079,0.20325484764542934,0.34782608695652173,0.18181818181818182,0.34782608695652173,0.34782608695652173,18.92429399485962,75.0,0.7857142857142857
codeqwen,str_cmp,py,cpp,1.0,1.0,0.31117957092122805,0.24117880351961501,0.3825883133155203,0.3697104677060134,0.16554809843400445,0.311804008908686,0.3652561247216035,31.76210208831412,83.47826086956522,0.8526785714285714
codeqwen,str_append,c,js,1.0,1.0,0.3075104448120444,0.0,0.34196717650999225,0.06349206349206349,0.0,0.06349206349206349,0.06349206349206349,10.844585081864475,577.7777777777777,7.0
granitecode8b,file_create,c,py,1.0,1.0,0.23583104074340616,0.13370499060275431,0.4212386018237082,0.1568627450980392,0.02,0.1372549019607843,0.1568627450980392,35.01053908607328,321.7391304347826,3.2857142857142856
codeqwen,int_factors,cpp,js,1.0,1.0,0.31735755712593205,0.27451826323126577,0.46575524340598357,0.40625,0.12698412698412698,0.34375,0.390625,40.68599734406494,80.0,0.8245614035087719
granitecode3b,int_cmp,py,cpp,1.0,0.0,0.28545420534831406,0.24091909764486813,0.4650797018222784,0.46060606060606063,0.22085889570552147,0.3515151515151515,0.43636363636363634,34.72953603043804,70.78651685393258,0.75
granitecode8b,file_create,py,cpp,1.0,0.0,0.3524763202372533,0.2566082228380491,0.403269943006275,0.24489795918367344,0.0851063829787234,0.24489795918367344,0.24489795918367344,40.88277923099308,109.52380952380953,1.105263157894737
codegemma7b,str_prepend,c,cpp,1.0,1.0,0.3334562641112555,0.2619526379369414,0.4508709990300679,0.5428571428571428,0.32352941176470584,0.5428571428571428,0.5428571428571428,41.18609244983066,51.28205128205128,0.5428571428571428
deepseekcoder7b,str_append,java,js,1.0,1.0,0.3636325809832699,0.0,0.3130541871921182,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,15.896494721711827,88.88888888888889,0.7142857142857143
magicoder7b,file_create,java,cpp,1.0,0.0,0.3966157464884237,0.193955975052634,0.46378970910690326,0.125,0.05454545454545455,0.125,0.125,46.11602724094845,404.76190476190476,4.526315789473684
codegeex4,str_interp,go,py,1.0,1.0,0.4125583250991935,0.28680658895058664,0.6216243148978574,0.4,0.17391304347826086,0.23999999999999996,0.4,42.754421326338104,100.0,1.1111111111111112
codegemma7b,int_arith,js,go,1.0,1.0,0.357002575045111,0.40676818447648844,0.5096281540504649,0.3516483516483517,0.14444444444444443,0.31868131868131866,0.3516483516483517,47.64836338173587,123.61111111111111,1.2816901408450705
dolphincoder7b,int_arith,js,rs,1.0,0.0,0.2576337755762655,0.0,0.2431227641427083,0.29268292682926833,0.061728395061728385,0.23170731707317072,0.2804878048780488,23.793884489300208,170.9090909090909,1.7407407407407407
deepseekcoderv2,dir_make,go,js,1.0,1.0,0.23477087560271015,0.18216861198185022,0.23941674312587177,0.3063063063063063,0.11009174311926608,0.2162162162162162,0.3063063063063063,31.551305002652363,84.4155844155844,0.8666666666666667
codeqwen,int_factors,go,cpp,1.0,0.0,0.30565308099443667,0.18559041546530425,0.3436057006087246,0.31921824104234525,0.13114754098360656,0.21498371335504887,0.31921824104234525,36.94773547677425,159.81308411214954,1.683168316831683
codeqwen,str_interp,cpp,rs,1.0,1.0,0.3731128249461044,0.16919359343400736,0.33816964285714285,0.24242424242424246,0.09375000000000001,0.24242424242424246,0.2121212121212121,27.093723959138018,85.0,0.8717948717948718
yicoder2b,logic_ops,js,cpp,1.0,1.0,0.29580267050614883,0.24952894329367173,0.5082714208421859,0.36241610738255037,0.1360544217687075,0.28187919463087246,0.36241610738255037,35.78010195094083,135.71428571428572,1.3818181818181818
granitecode8b,file_size,go,c,1.0,0.0,0.34922804646967653,0.19832732527020241,0.5398612966851181,0.24691358024691357,0.10126582278481013,0.24691358024691357,0.24691358024691357,45.800636473385495,221.73913043478262,2.55
deepseekcoderv2,str_cmp,cpp,py,1.0,1.0,0.13580700390543626,0.09527431005995111,0.23175057160300294,0.17241379310344826,0.027777777777777776,0.11034482758620688,0.17241379310344826,25.047277675183093,103.6231884057971,1.007462686567164
dolphincoder7b,str_cmp,go,c,1.0,1.0,0.13629983241446672,0.08383681353563824,0.14889299784326157,0.10896309314586994,0.017636684303350973,0.0632688927943761,0.1054481546572935,20.35621740274415,98.4423676012461,0.993421052631579
codeqwen,str_interp,c,js,1.0,1.0,0.5049206064981832,0.3440153514356123,0.5289115646258503,0.3902439024390244,0.20512820512820512,0.34146341463414637,0.34146341463414637,33.02044597679924,69.56521739130434,0.6666666666666666
yicoder2b,str_prepend,java,go,1.0,1.0,0.27249238424802724,0.0,0.1807228915662651,0.13793103448275865,0.0,0.13793103448275865,0.13793103448275865,9.592592825141285,200.0,2.0
codeqwen,file_create,cpp,py,1.0,1.0,0.33751017550378515,0.14500738507416658,0.4914571552798157,0.26666666666666666,0.045454545454545456,0.2222222222222222,0.26666666666666666,44.04092399117826,247.82608695652172,2.5714285714285716
deepseekcoderv2,dir_make,rs,py,1.0,1.0,0.47060405343674655,0.2078302703627843,0.4992252066115701,0.23076923076923075,0.08333333333333333,0.23076923076923075,0.23076923076923075,47.890974312258045,475.0,4.5
deepseekcoder7b,int_cmp,c,java,1.0,0.0,0.36334865831580043,0.2931060545138928,0.4827250608272506,0.5517241379310344,0.27972027972027974,0.4689655172413793,0.5517241379310344,44.51922742469488,56.00000000000001,0.6621621621621622
codegeex4,str_append,rs,go,1.0,1.0,0.21251329741283057,0.13639681431072864,0.3538595693757711,0.48484848484848486,0.2580645161290323,0.48484848484848486,0.48484848484848486,30.62848298503579,64.70588235294117,0.6666666666666666
codegeex4,str_interp,rs,js,1.0,1.0,0.16718531487149202,0.061334025577483645,0.3018636351169743,0.07142857142857144,0.037037037037037035,0.07142857142857144,0.07142857142857144,26.485016504474572,134.7826086956522,1.2857142857142858
codeqwen,str_match,js,go,1.0,1.0,0.3574711074639264,0.18688321329965507,0.4176696750012329,0.27986348122866894,0.1099656357388316,0.23890784982935157,0.27986348122866894,42.480825200115376,167.3469387755102,1.7263157894736842
stablecode,file_create,rs,go,1.0,0.0,0.4028293961778044,0.25216374550637044,0.496631253516737,0.4657534246575342,0.2361111111111111,0.4246575342465754,0.4657534246575342,45.30394820393661,108.92857142857142,1.1923076923076923
yicoder2b,int_arith,rs,java,1.0,0.0,0.1872117492400266,0.047892355948721335,0.19548138139649698,0.19494584837545126,0.03636363636363636,0.16606498194945848,0.19494584837545126,23.097519547807842,90.5027932960894,0.9101123595505618
magicoder7b,file_size,py,java,1.0,1.0,0.547169274650448,0.25725951967143185,0.4247462277091908,0.2702702702702703,0.1834862385321101,0.2702702702702703,0.2702702702702703,53.01789748207223,284.0,2.9583333333333335
codeqwen,int_factors,js,rs,1.0,1.0,0.45181953239998673,0.36175871652444774,0.3816572418151524,0.3910614525139665,0.19209039548022602,0.2905027932960894,0.3910614525139665,35.71942545182315,78.84615384615384,0.8823529411764706
deepseekcoder7b,str_match,c,java,1.0,1.0,0.181962405413916,0.0,0.17003188097768332,0.05357142857142857,0.0,0.05357142857142857,0.05357142857142857,21.114819060493897,289.2857142857143,3.6363636363636362
codegeex4,logic_ops,cpp,js,1.0,1.0,0.30226698787748063,0.21493808728319302,0.5807658422604988,0.24489795918367346,0.0425531914893617,0.24489795918367346,0.24489795918367346,28.264378033344318,76.92307692307693,0.8
yicoder2b,int_cmp,rs,java,1.0,0.0,0.19459089316143174,0.0,0.2858481915404805,0.1853658536585366,0.03940886699507389,0.13658536585365852,0.1853658536585366,28.052470054446516,161.33333333333331,1.6216216216216217
dolphincoder7b,str_concat,c,py,1.0,1.0,0.16954229600111687,0.062391786482755215,0.2275171385991058,0.1481481481481481,0.05063291139240506,0.1481481481481481,0.1481481481481481,20.746182599532375,140.625,1.5714285714285714
dolphincoder7b,file_rename,js,go,1.0,1.0,0.543943119924821,0.6578817480735583,0.8516768364788799,0.5882352941176471,0.3125,0.5882352941176471,0.5882352941176471,85.23334721167166,56.25,0.6666666666666666
deepseekcoderv2,file_rename,js,py,1.0,1.0,0.3287701125345855,0.19243485418929798,0.5388285948024905,0.0963855421686747,0.024691358024691357,0.0963855421686747,0.0963855421686747,44.55412922875667,338.88888888888886,3.5
granitecode3b,int_cmp,java,cpp,1.0,0.0,0.40406107222170795,0.2495121867710469,0.4571972705385322,0.48520710059171596,0.25149700598802394,0.40236686390532544,0.47337278106508873,35.50045953081972,66.29213483146067,0.6931818181818182
codegemma7b,str_substring,java,rs,1.0,0.0,0.268933392263585,0.06488812051458806,0.16857536175487484,0.06622516556291391,0.0,0.06622516556291391,0.06622516556291391,17.047716392180966,106.94444444444444,1.1587301587301588
magicoder7b,str_append,rs,c,1.0,0.0,0.16164105908709428,0.17795632350568294,0.29616219755533874,0.23404255319148934,0.13043478260869568,0.23404255319148934,0.23404255319148934,25.10137837469205,84.375,0.8709677419354839
codeqwen,dir_make,cpp,js,1.0,1.0,0.18241357259111507,0.15235736459476013,0.22006568622536882,0.3333333333333333,0.10714285714285714,0.2105263157894737,0.3333333333333333,30.101959945279074,84.4155844155844,0.88
stablecode,logic_ops,c,go,1.0,0.0,0.3811948532354039,0.48086716572688465,0.896321186778176,0.5,0.2222222222222222,0.5,0.5,67.59955052022818,75.0,0.782608695652174
codellama7b,file_size,py,js,1.0,1.0,0.4260375752349882,0.25353225909374033,0.6174976915974146,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,33.205291282809355,257.14285714285717,3.2
deepseekcoder7b,logic_ops,rs,java,1.0,1.0,0.50363692016857,0.2720612950316704,0.46641156462585026,0.2835820895522388,0.21212121212121213,0.2835820895522388,0.2835820895522388,54.60845584945802,296.55172413793105,3.107142857142857
deepseekcoder7b,str_cmp,c,java,1.0,1.0,0.14506303135813645,0.05908518024741409,0.1626684290590467,0.1923076923076923,0.07766990291262137,0.18269230769230768,0.1923076923076923,30.2428205502229,87.5,0.8740740740740741
deepseekcoder7b,str_match,go,py,1.0,1.0,0.20720347374139353,0.0,0.1902712874112653,0.07843137254901962,0.0,0.07843137254901962,0.07843137254901962,20.959700892726747,141.46341463414635,1.6571428571428573
granitecode8b,file_exists,go,cpp,1.0,0.0,0.3464589584151483,0.12449957017482868,0.41932029396476606,0.2685512367491166,0.12811387900355872,0.24734982332155475,0.2614840989399293,34.72663874759978,266.1764705882353,2.7846153846153845
yicoder9b,logic_ops,py,cpp,1.0,0.0,0.4418465570317377,0.36629919963806473,0.555370950418909,0.5742574257425743,0.3838383838383838,0.5742574257425743,0.5742574257425743,39.61181497238258,51.78571428571429,0.5636363636363636
codegeex4,dir_make,java,c,1.0,0.0,0.27857260739834505,0.22803908154805458,0.45215545195722545,0.3902439024390244,0.14778325123152708,0.2926829268292683,0.3902439024390244,32.671082925900095,113.95348837209302,1.2375
granitecode8b,int_factors,go,rs,1.0,0.0,0.3322485912204735,0.07865768806902433,0.2656684603464996,0.18340611353711792,0.06167400881057268,0.14847161572052403,0.18340611353711792,26.802216633731703,107.6923076923077,1.088235294117647
codellama7b,str_prepend,cpp,js,1.0,1.0,0.12583536518680133,0.0,0.31680785521755866,0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,20.058578459141003,106.66666666666667,1.1666666666666667
codellama7b,int_arith,java,cpp,1.0,1.0,0.3850455661191291,0.25672965639691175,0.5521152113401907,0.416988416988417,0.22568093385214008,0.3088803088803089,0.3861003861003861,36.832570972733045,227.94117647058823,2.3134328358208953
codeqwen,bit_ops,py,go,1.0,0.0,0.33027150147527257,0.14162763028353823,0.37774634606317775,0.10434782608695652,0.029154518950437313,0.09855072463768116,0.10434782608695652,33.05883315529359,216.34615384615384,2.1862745098039214
dolphincoder7b,file_create,go,java,1.0,1.0,0.2265364617119437,0.43122855153737333,0.49840024099441904,0.39473684210526316,0.21621621621621623,0.39473684210526316,0.39473684210526316,56.89810648332914,75.67567567567568,0.7714285714285715
magicoder7b,str_match,cpp,rs,1.0,1.0,0.41767294717237297,0.19744671509682657,0.36497741472407524,0.36283185840707965,0.16071428571428573,0.26548672566371684,0.36283185840707965,35.029584455921324,106.12244897959184,1.2291666666666667
granitecode3b,str_append,cpp,rs,1.0,1.0,0.49908428020268986,0.21526120813722105,0.4393450184501845,0.4102564102564103,0.21621621621621623,0.4102564102564103,0.4102564102564103,37.24975308873132,69.23076923076923,0.7083333333333334
codeqwen,bit_ops,py,cpp,1.0,0.0,0.33389836318011146,0.09953787487037502,0.3452380952380952,0.2207792207792208,0.055374592833876225,0.20454545454545453,0.21103896103896103,25.194633873833705,142.67241379310346,1.41991341991342
deepseekcoder7b,file_create,go,c,1.0,1.0,0.39015086944177735,0.15750702030191568,0.32214857614144987,0.15853658536585366,0.037037037037037035,0.12195121951219515,0.15853658536585366,32.689425788341964,168.9655172413793,1.7454545454545454
codellama7b,file_size,js,py,1.0,1.0,0.497685067216178,0.3386267722054349,0.6493128348474261,0.5,0.2,0.375,0.5,69.73529154531982,225.0,2.4285714285714284
codegemma7b,file_create,java,py,1.0,1.0,0.32211570031388587,0.3163471155624908,0.34695967124050986,0.0975609756097561,0.05128205128205128,0.0975609756097561,0.0975609756097561,31.29477420721269,91.30434782608695,0.9047619047619048
dolphincoder7b,file_exists,go,rs,1.0,1.0,0.3917643719995829,0.24751135177415326,0.5278449963576762,0.33009708737864074,0.1188118811881188,0.29126213592233013,0.33009708737864074,40.717738989488176,85.71428571428571,0.875
dolphincoder7b,int_factors,js,cpp,1.0,0.0,0.26749996609353643,0.16057859124098206,0.23215494090233973,0.3529411764705882,0.1456953642384106,0.3137254901960784,0.3529411764705882,30.684968494643677,78.50467289719626,0.7821782178217822
yicoder2b,int_factors,c,go,1.0,0.0,0.12679375566796025,0.06703513678206104,0.1891833005567755,0.23744292237442924,0.04608294930875577,0.1461187214611872,0.23744292237442924,17.010558841066345,90.13157894736842,0.9133333333333333
yicoder2b,file_rename,java,go,1.0,0.0,0.2868895794690196,0.18673367722945358,0.5022057936163841,0.22222222222222224,0.10126582278481013,0.22222222222222224,0.22222222222222224,41.111001965967766,362.5,3.6666666666666665
codegeex4,file_size,py,go,1.0,1.0,0.4514191291417339,0.2295719685963492,0.4951806064563829,0.42990654205607476,0.17142857142857143,0.37383177570093457,0.42990654205607476,52.81215950505096,178.125,2.0
granitecode3b,file_exists,rs,c,1.0,0.0,0.26698063951340484,0.15389025818195373,0.2898051901930018,0.26829268292682923,0.09876543209876544,0.20731707317073172,0.26829268292682923,27.716969919209806,83.83838383838383,0.8681318681318682
codegeex4,int_cmp,go,java,1.0,1.0,0.4280075025413254,0.34070018331765367,0.5329783950617284,0.5945945945945945,0.3013698630136986,0.5,0.5945945945945945,47.601203366194454,57.333333333333336,0.6486486486486487
codegeex4,file_size,py,cpp,1.0,0.0,0.4587613972109107,0.333326201774618,0.6171973842659635,0.4892086330935252,0.2773722627737227,0.40287769784172667,0.41726618705035967,52.52624308078693,117.64705882352942,1.3333333333333333
yicoder2b,str_append,py,cpp,1.0,1.0,0.4935918137916198,0.6316221760040718,0.7964600100603623,0.7142857142857143,0.6,0.7142857142857143,0.7142857142857143,62.32088679939781,35.0,0.3888888888888889
yicoder9b,str_match,go,rs,1.0,0.0,0.34518263639628444,0.11997448806474266,0.32694957315045725,0.23696682464454977,0.057416267942583726,0.13270142180094785,0.23696682464454977,34.16972274428428,104.08163265306123,1.0833333333333333
codellama7b,dir_make,rs,cpp,1.0,1.0,0.07058169563432981,0.13418754277425626,0.3054204323558381,0.3469387755102041,0.020833333333333336,0.26530612244897955,0.3469387755102041,32.357861767658875,84.90566037735849,0.8627450980392157
stablecode,str_concat,java,py,1.0,1.0,0.3333594296730505,0.04453547753639843,0.19117647058823528,0.1616161616161616,0.041237113402061855,0.1616161616161616,0.1616161616161616,17.534202783297147,187.5,2.0714285714285716
codeqwen,str_match,cpp,c,1.0,1.0,0.2344133397340576,0.20366483257353765,0.35249213747437597,0.32227488151658773,0.057416267942583726,0.22748815165876776,0.2938388625592417,28.841013817959965,84.95575221238938,0.8888888888888888
deepseekcoderv2,int_cmp,c,js,1.0,1.0,0.13084442395996643,0.1073967382845178,0.2279486991342393,0.20408163265306123,0.11522633744855966,0.17959183673469387,0.19591836734693877,20.37818695719327,90.10989010989012,0.8863636363636364
codegeex4,file_exists,py,go,1.0,1.0,0.49434345231134924,0.30856384703771206,0.4993837456973934,0.3883495145631068,0.25742574257425743,0.3883495145631068,0.3883495145631068,50.038374208775,97.67441860465115,1.05
deepseekcoder7b,file_create,js,cpp,1.0,0.0,0.30850750070775423,0.3277165682404257,0.4636374576188018,0.1839080459770115,0.11764705882352941,0.1839080459770115,0.1839080459770115,52.268416775029955,280.9523809523809,3.1578947368421053
codegemma7b,file_exists,py,c,1.0,0.0,0.3452071409137849,0.3173666833981703,0.3903739248379147,0.2549019607843137,0.09900990099009901,0.2156862745098039,0.2549019607843137,45.663140158825314,91.91919191919192,1.010989010989011
codellama7b,dir_make,rs,c,1.0,1.0,0.24872018079062952,0.3265643422717565,0.3314124313050199,0.46575342465753417,0.23611111111111113,0.3698630136986301,0.46575342465753417,46.46224728922525,69.76744186046511,0.8125
