model,task,from_lang,to_lang,run
codegeex4,int_arith,go,c,1.0
granitecode8b,int_arith,go,rs,0.0
codeqwen,int_arith,cpp,go,1.0
qwen2.5coder2b,int_arith,c,go,1.0
yicoder2b,int_arith,py,java,1.0
granitecode3b,int_arith,js,cpp,1.0
codeqwen,int_arith,js,rs,1.0
granitecode3b,bit_ops,c,rs,1.0
deepseekcoder7b,bit_ops,go,java,1.0
yicoder9b,bit_ops,go,rs,1.0
qwen2.5coder2b,bit_ops,c,rs,1.0
magicoder7b,bit_ops,cpp,java,1.0
yicoder9b,bit_ops,py,c,1.0
codellama7b,bit_ops,c,rs,1.0
dolphincoder7b,bit_ops,go,rs,1.0
codegeex4,bit_ops,c,rs,1.0
granitecode8b,bit_ops,c,cpp,1.0
granitecode8b,bit_ops,java,rs,1.0
qwen2.5coder7b,bit_ops,go,rs,1.0
yicoder9b,bit_ops,js,cpp,1.0
stablecode,bit_ops,rs,java,1.0
granitecode8b,bit_ops,rs,cpp,1.0
codeqwen,bit_ops,c,java,1.0
granitecode8b,bit_ops,c,rs,1.0
granitecode8b,bit_ops,py,c,1.0
deepseekcoder7b,bit_ops,rs,java,1.0
codellama7b,bit_ops,js,c,1.0
yicoder9b,bit_ops,c,rs,1.0
codegeex4,bit_ops,cpp,go,1.0
codeqwen,bit_ops,java,c,1.0
magicoder7b,bit_ops,java,cpp,1.0
codellama7b,bit_ops,js,go,1.0
dolphincoder7b,bit_ops,cpp,go,1.0
codeqwen,bit_ops,py,rs,1.0
codellama7b,bit_ops,go,rs,1.0
deepseekcoder7b,bit_ops,rs,js,1.0
dolphincoder7b,bit_ops,java,go,1.0
qwen2.5coder7b,bit_ops,c,go,1.0
codellama7b,bit_ops,cpp,py,1.0
dolphincoder7b,bit_ops,c,cpp,1.0
granitecode8b,bit_ops,go,rs,1.0
deepseekcoder7b,bit_ops,go,c,1.0
codeqwen,bit_ops,py,go,1.0
codegemma7b,bit_ops,go,rs,1.0
magicoder7b,bit_ops,go,js,1.0
qwen2.5coder7b,bit_ops,c,rs,1.0
deepseekcoderv2,bit_ops,js,rs,1.0
codegemma7b,bit_ops,py,c,1.0
dolphincoder7b,bit_ops,c,rs,1.0
deepseekcoderv2,bit_ops,c,js,1.0
magicoder7b,bit_ops,cpp,c,1.0
qwen2.5coder2b,bit_ops,js,rs,1.0
yicoder2b,bit_ops,c,java,1.0
deepseekcoder7b,bit_ops,py,c,1.0
deepseekcoder7b,bit_ops,go,py,0.0
deepseekcoder7b,bit_ops,js,java,1.0
codellama7b,bit_ops,js,rs,1.0
yicoder2b,bit_ops,cpp,js,1.0
codeqwen,bit_ops,js,cpp,1.0
codeqwen,bit_ops,cpp,java,0.0
yicoder2b,bit_ops,js,cpp,1.0
dolphincoder7b,bit_ops,cpp,c,1.0
yicoder9b,bit_ops,go,c,1.0
granitecode8b,bit_ops,cpp,rs,1.0
deepseekcoder7b,bit_ops,go,js,0.0
granitecode8b,bit_ops,go,c,1.0
deepseekcoder7b,bit_ops,java,go,1.0
codegeex4,bit_ops,c,go,1.0
yicoder9b,bit_ops,c,cpp,1.0
deepseekcoder7b,bit_ops,java,c,1.0
qwen2.5coder2b,bit_ops,c,go,1.0
magicoder7b,bit_ops,py,java,1.0
codegemma7b,bit_ops,c,cpp,1.0
codellama7b,bit_ops,py,cpp,1.0
codeqwen,bit_ops,java,rs,1.0
codeqwen,bit_ops,rs,java,1.0
codegeex4,bit_ops,cpp,c,1.0
deepseekcoderv2,bit_ops,c,cpp,1.0
granitecode3b,bit_ops,go,java,0.0
deepseekcoder7b,bit_ops,rs,go,1.0
deepseekcoder7b,bit_ops,rs,cpp,1.0
granitecode3b,bit_ops,js,py,1.0
codellama7b,bit_ops,c,go,1.0
dolphincoder7b,bit_ops,rs,java,1.0
qwen2.5coder7b,bit_ops,c,cpp,1.0
codellama7b,dir_make,js,go,1.0
deepseekcoder7b,dir_make,py,c,0.0
yicoder9b,dir_make,py,go,0.0
magicoder7b,dir_make,go,c,1.0
magicoder7b,dir_make,js,rs,1.0
codellama7b,dir_make,cpp,java,1.0
codellama7b,dir_make,c,cpp,0.0
magicoder7b,dir_make,rs,go,1.0
yicoder9b,dir_make,py,rs,1.0
granitecode3b,dir_make,go,java,1.0
qwen2.5coder7b,dir_make,c,rs,0.0
magicoder7b,dir_make,rs,java,1.0
yicoder9b,dir_make,go,c,1.0
codeqwen,dir_make,js,go,1.0
codegemma7b,dir_make,go,c,1.0
qwen2.5coder7b,dir_make,go,rs,1.0
deepseekcoder7b,dir_make,c,js,1.0
codegemma7b,dir_make,rs,c,1.0
magicoder7b,dir_make,py,cpp,0.0
qwen2.5coder2b,dir_make,java,rs,1.0
qwen2.5coder2b,dir_make,rs,java,1.0
codegeex4,dir_make,js,c,1.0
yicoder9b,dir_make,js,java,1.0
stablecode,dir_make,rs,java,1.0
deepseekcoder7b,dir_make,js,rs,1.0
yicoder9b,dir_make,go,rs,1.0
codegeex4,dir_make,java,rs,1.0
qwen2.5coder7b,dir_make,java,rs,1.0
codegeex4,dir_make,c,go,0.0
magicoder7b,dir_make,cpp,go,1.0
granitecode8b,dir_make,js,rs,1.0
codeqwen,dir_make,c,go,1.0
yicoder2b,dir_make,go,c,1.0
codegemma7b,dir_make,js,c,1.0
dolphincoder7b,dir_make,c,cpp,0.0
granitecode8b,dir_make,c,go,1.0
deepseekcoder7b,dir_make,c,go,1.0
granitecode8b,dir_make,js,go,1.0
magicoder7b,dir_make,go,cpp,1.0
magicoder7b,dir_make,java,c,0.0
dolphincoder7b,dir_make,py,rs,1.0
codegemma7b,dir_make,java,c,0.0
qwen2.5coder7b,dir_make,cpp,c,0.0
codeqwen,dir_make,java,c,0.0
granitecode3b,dir_make,rs,py,1.0
qwen2.5coder7b,dir_make,cpp,rs,0.0
granitecode8b,dir_make,java,go,1.0
yicoder9b,dir_make,c,rs,1.0
qwen2.5coder7b,dir_make,go,c,0.0
magicoder7b,dir_make,py,rs,1.0
deepseekcoderv2,dir_make,go,c,1.0
codegemma7b,dir_make,js,rs,1.0
magicoder7b,dir_make,go,rs,1.0
qwen2.5coder7b,dir_make,js,go,1.0
qwen2.5coder7b,dir_make,js,rs,1.0
codeqwen,dir_make,rs,c,0.0
deepseekcoder7b,dir_make,js,py,1.0
magicoder7b,dir_make,cpp,java,1.0
magicoder7b,dir_make,c,rs,0.0
codeqwen,dir_make,js,rs,1.0
deepseekcoder7b,dir_make,cpp,go,0.0
deepseekcoderv2,dir_make,js,go,1.0
yicoder9b,dir_make,cpp,c,1.0
dolphincoder7b,dir_make,py,cpp,1.0
deepseekcoder7b,dir_make,cpp,rs,0.0
dolphincoder7b,dir_make,js,go,1.0
magicoder7b,dir_make,js,go,1.0
codellama7b,dir_make,rs,java,1.0
qwen2.5coder2b,dir_make,rs,cpp,0.0
qwen2.5coder7b,dir_make,py,c,1.0
codegemma7b,dir_make,cpp,c,1.0
codegeex4,dir_make,js,java,1.0
codeqwen,dir_make,py,rs,1.0
dolphincoder7b,dir_make,rs,go,1.0
deepseekcoderv2,dir_make,java,c,0.0
codellama7b,dir_make,js,rs,0.0
granitecode8b,dir_make,go,rs,1.0
codellama7b,dir_make,go,c,1.0
yicoder9b,dir_make,js,go,1.0
dolphincoder7b,dir_make,py,java,0.0
codegeex4,dir_make,rs,go,0.0
dolphincoder7b,dir_make,cpp,go,1.0
granitecode3b,dir_make,js,c,1.0
qwen2.5coder2b,dir_make,go,java,1.0
yicoder9b,dir_make,cpp,rs,0.0
granitecode3b,dir_make,c,rs,1.0
qwen2.5coder2b,file_create,cpp,c,0.0
codegemma7b,file_create,java,rs,0.0
qwen2.5coder7b,file_create,rs,cpp,0.0
qwen2.5coder7b,file_create,cpp,c,0.0
codegeex4,file_create,go,rs,0.0
deepseekcoder7b,file_create,js,java,0.0
qwen2.5coder7b,file_create,cpp,java,0.0
dolphincoder7b,file_create,rs,go,0.0
stablecode,file_create,c,py,1.0
codellama7b,file_create,java,c,1.0
codellama7b,file_create,js,rs,0.0
qwen2.5coder7b,file_create,py,go,1.0
dolphincoder7b,file_create,c,go,0.0
magicoder7b,file_create,go,cpp,0.0
yicoder9b,file_create,js,go,0.0
qwen2.5coder7b,file_create,js,rs,0.0
codellama7b,file_create,py,rs,0.0
codegemma7b,file_create,java,go,0.0
codegeex4,file_create,c,rs,1.0
qwen2.5coder2b,file_create,py,c,1.0
yicoder9b,file_create,py,c,1.0
dolphincoder7b,file_create,js,rs,0.0
magicoder7b,file_create,java,cpp,0.0
yicoder9b,file_create,rs,go,0.0
granitecode3b,file_create,rs,js,0.0
codellama7b,file_create,js,cpp,0.0
qwen2.5coder7b,file_create,rs,c,0.0
deepseekcoderv2,file_create,rs,go,0.0
deepseekcoder7b,file_create,rs,java,0.0
deepseekcoder7b,file_create,go,java,1.0
dolphincoder7b,file_create,py,go,1.0
deepseekcoderv2,file_create,java,c,0.0
yicoder9b,file_create,java,c,1.0
codegeex4,file_create,java,c,0.0
qwen2.5coder7b,file_create,py,rs,0.0
codellama7b,file_create,go,c,0.0
dolphincoder7b,file_create,java,go,0.0
granitecode3b,file_create,c,java,0.0
qwen2.5coder2b,file_create,js,rs,0.0
codellama7b,file_create,cpp,java,1.0
deepseekcoderv2,file_create,js,c,0.0
qwen2.5coder2b,file_create,go,java,1.0
yicoder2b,file_create,c,cpp,1.0
dolphincoder7b,file_create,go,rs,0.0
qwen2.5coder2b,file_create,go,c,0.0
qwen2.5coder7b,file_create,java,go,1.0
codegeex4,file_create,js,c,0.0
codegeex4,file_create,py,c,0.0
yicoder2b,file_create,py,java,1.0
dolphincoder7b,file_create,js,java,0.0
deepseekcoderv2,file_create,cpp,c,0.0
codeqwen,file_create,rs,cpp,0.0
codeqwen,file_create,js,cpp,0.0
deepseekcoderv2,file_create,py,go,1.0
qwen2.5coder7b,file_create,go,rs,0.0
qwen2.5coder2b,file_create,go,rs,1.0
qwen2.5coder2b,file_create,java,rs,0.0
qwen2.5coder2b,file_create,cpp,rs,0.0
qwen2.5coder7b,file_create,js,c,0.0
qwen2.5coder7b,file_create,py,c,0.0
dolphincoder7b,file_create,rs,c,0.0
deepseekcoderv2,file_create,go,c,0.0
granitecode8b,file_create,go,c,1.0
yicoder9b,file_create,rs,cpp,1.0
codeqwen,file_create,py,c,1.0
granitecode3b,file_create,cpp,java,1.0
qwen2.5coder7b,file_exists,c,rs,1.0
deepseekcoderv2,file_exists,py,java,1.0
deepseekcoder7b,file_exists,cpp,rs,1.0
qwen2.5coder7b,file_exists,cpp,rs,1.0
codellama7b,file_exists,py,c,0.0
qwen2.5coder7b,file_exists,js,c,1.0
codegeex4,file_exists,js,go,1.0
codegeex4,file_exists,cpp,c,1.0
qwen2.5coder7b,file_exists,py,rs,1.0
dolphincoder7b,file_exists,c,java,1.0
granitecode3b,file_exists,java,go,1.0
codegeex4,file_exists,c,go,1.0
codegemma7b,file_exists,c,cpp,1.0
granitecode8b,file_exists,cpp,java,1.0
magicoder7b,file_exists,cpp,c,1.0
qwen2.5coder2b,file_exists,go,c,1.0
qwen2.5coder7b,file_exists,rs,c,1.0
qwen2.5coder7b,file_exists,js,rs,1.0
deepseekcoderv2,file_exists,js,rs,1.0
codegeex4,file_exists,java,c,1.0
granitecode8b,file_exists,java,go,1.0
codellama7b,file_exists,js,c,1.0
dolphincoder7b,file_exists,java,go,0.0
codeqwen,file_exists,rs,go,1.0
deepseekcoderv2,file_exists,java,rs,1.0
codellama7b,file_exists,java,c,1.0
granitecode8b,file_exists,js,rs,0.0
deepseekcoder7b,file_exists,c,cpp,1.0
qwen2.5coder2b,file_exists,js,go,1.0
codellama7b,file_exists,cpp,go,1.0
codegemma7b,file_exists,rs,go,1.0
codellama7b,file_exists,rs,go,1.0
deepseekcoder7b,file_exists,go,java,1.0
magicoder7b,file_exists,java,cpp,1.0
granitecode8b,file_exists,py,rs,0.0
dolphincoder7b,file_exists,py,java,1.0
dolphincoder7b,file_exists,js,go,0.0
qwen2.5coder2b,file_exists,java,c,1.0
qwen2.5coder7b,file_exists,go,rs,1.0
dolphincoder7b,file_exists,py,c,1.0
yicoder2b,file_exists,js,c,1.0
deepseekcoder7b,file_exists,py,c,1.0
codegeex4,file_exists,rs,java,1.0
granitecode3b,file_exists,cpp,go,1.0
dolphincoder7b,file_exists,py,go,1.0
granitecode3b,file_exists,c,py,1.0
magicoder7b,file_exists,rs,go,1.0
yicoder9b,file_exists,c,go,1.0
deepseekcoder7b,file_exists,java,rs,0.0
deepseekcoder7b,file_exists,c,java,1.0
qwen2.5coder7b,file_exists,java,rs,1.0
yicoder9b,file_exists,py,rs,1.0
dolphincoder7b,file_exists,cpp,java,1.0
yicoder2b,file_exists,java,cpp,1.0
codegemma7b,file_rename,java,py,0.0
magicoder7b,file_rename,rs,java,0.0
codegemma7b,file_rename,c,go,0.0
codegeex4,file_rename,rs,go,0.0
qwen2.5coder7b,file_rename,java,rs,1.0
granitecode3b,file_rename,rs,java,0.0
codegeex4,file_rename,py,c,0.0
qwen2.5coder2b,file_rename,java,c,1.0
codeqwen,file_rename,go,c,1.0
codellama7b,file_rename,js,c,0.0
deepseekcoderv2,file_rename,c,go,1.0
qwen2.5coder7b,file_rename,go,rs,0.0
codeqwen,file_rename,cpp,c,0.0
qwen2.5coder2b,file_rename,c,go,1.0
qwen2.5coder7b,file_rename,py,c,0.0
codeqwen,file_rename,py,c,0.0
yicoder2b,file_rename,js,go,0.0
codegeex4,file_rename,java,go,1.0
yicoder9b,file_rename,py,cpp,1.0
magicoder7b,file_rename,js,c,0.0
stablecode,file_rename,c,go,1.0
qwen2.5coder2b,file_rename,cpp,rs,0.0
deepseekcoder7b,file_rename,java,rs,1.0
dolphincoder7b,file_rename,c,rs,1.0
granitecode8b,file_rename,cpp,java,1.0
qwen2.5coder2b,file_rename,c,rs,1.0
codellama7b,file_rename,rs,go,1.0
yicoder2b,file_rename,py,c,1.0
dolphincoder7b,file_rename,cpp,c,0.0
dolphincoder7b,file_rename,java,rs,0.0
codegemma7b,file_rename,cpp,go,0.0
yicoder2b,file_rename,java,c,1.0
granitecode3b,file_rename,go,rs,0.0
qwen2.5coder7b,file_rename,cpp,rs,0.0
yicoder9b,file_rename,py,c,1.0
qwen2.5coder2b,file_rename,go,c,0.0
dolphincoder7b,file_rename,py,cpp,1.0
deepseekcoderv2,file_rename,java,go,1.0
codegeex4,file_rename,cpp,java,1.0
magicoder7b,file_rename,rs,c,0.0
yicoder9b,file_rename,js,cpp,1.0
granitecode3b,file_rename,cpp,java,1.0
deepseekcoder7b,file_rename,c,java,0.0
yicoder2b,file_rename,cpp,c,1.0
granitecode8b,file_rename,js,java,1.0
deepseekcoder7b,file_rename,rs,java,1.0
qwen2.5coder2b,file_rename,py,rs,0.0
yicoder9b,file_rename,go,cpp,1.0
yicoder2b,file_rename,go,c,1.0
yicoder2b,file_rename,js,rs,1.0
qwen2.5coder7b,file_rename,py,rs,0.0
codeqwen,file_rename,cpp,java,0.0
granitecode3b,file_rename,js,go,0.0
codegeex4,file_rename,go,cpp,0.0
deepseekcoder7b,file_rename,js,go,1.0
qwen2.5coder2b,file_rename,go,rs,0.0
deepseekcoder7b,file_rename,rs,c,1.0
magicoder7b,file_rename,cpp,go,0.0
stablecode,file_size,js,go,0.0
qwen2.5coder7b,file_size,go,java,1.0
deepseekcoder7b,file_size,c,java,1.0
qwen2.5coder7b,file_size,cpp,c,0.0
yicoder9b,file_size,go,cpp,0.0
granitecode3b,file_size,cpp,rs,0.0
granitecode3b,file_size,java,c,1.0
codegeex4,file_size,cpp,rs,0.0
codegeex4,file_size,java,rs,0.0
yicoder9b,file_size,c,go,1.0
granitecode8b,file_size,go,rs,0.0
codegeex4,file_size,go,cpp,0.0
deepseekcoderv2,file_size,cpp,c,0.0
granitecode3b,file_size,py,rs,0.0
codegemma7b,file_size,py,java,1.0
yicoder9b,file_size,rs,go,1.0
codegeex4,file_size,rs,go,0.0
codeqwen,file_size,js,go,1.0
qwen2.5coder7b,file_size,py,c,0.0
codellama7b,file_size,go,rs,0.0
dolphincoder7b,file_size,js,go,1.0
magicoder7b,file_size,js,java,0.0
stablecode,file_size,py,js,1.0
granitecode3b,file_size,js,java,0.0
dolphincoder7b,file_size,go,c,0.0
qwen2.5coder2b,file_size,c,rs,0.0
qwen2.5coder7b,file_size,js,rs,0.0
codegeex4,file_size,cpp,go,1.0
qwen2.5coder2b,file_size,js,rs,0.0
qwen2.5coder7b,file_size,go,rs,0.0
granitecode3b,file_size,rs,go,0.0
deepseekcoderv2,file_size,rs,go,0.0
deepseekcoder7b,file_size,cpp,py,1.0
yicoder9b,file_size,cpp,go,0.0
codegeex4,file_size,go,rs,0.0
magicoder7b,file_size,c,go,1.0
qwen2.5coder2b,file_size,py,rs,0.0
qwen2.5coder2b,file_size,cpp,rs,1.0
qwen2.5coder7b,file_size,c,rs,0.0
codellama7b,file_size,rs,go,1.0
qwen2.5coder7b,file_size,py,rs,0.0
yicoder9b,file_size,java,cpp,0.0
codegemma7b,file_size,py,c,1.0
codegemma7b,file_size,py,js,0.0
granitecode8b,file_size,java,go,0.0
deepseekcoder7b,file_size,go,rs,0.0
codeqwen,file_size,js,rs,0.0
qwen2.5coder7b,file_size,java,rs,0.0
magicoder7b,int_cmp,go,java,1.0
qwen2.5coder7b,int_cmp,js,rs,1.0
dolphincoder7b,int_cmp,js,go,1.0
codeqwen,int_cmp,cpp,go,1.0
codeqwen,int_cmp,py,go,1.0
dolphincoder7b,int_cmp,py,java,1.0
deepseekcoder7b,int_cmp,cpp,go,1.0
qwen2.5coder7b,int_cmp,java,rs,1.0
yicoder2b,int_cmp,js,go,1.0
qwen2.5coder7b,int_cmp,c,rs,1.0
codellama7b,int_cmp,py,go,1.0
codeqwen,int_cmp,py,c,1.0
magicoder7b,int_cmp,c,go,1.0
granitecode3b,int_cmp,cpp,go,1.0
yicoder9b,int_cmp,java,rs,1.0
codeqwen,int_cmp,java,cpp,1.0
deepseekcoder7b,int_cmp,go,rs,1.0
qwen2.5coder7b,int_cmp,rs,go,1.0
granitecode8b,int_cmp,cpp,go,1.0
codeqwen,int_cmp,java,go,1.0
deepseekcoder7b,int_cmp,cpp,rs,1.0
codellama7b,int_cmp,cpp,java,1.0
yicoder9b,int_cmp,py,rs,1.0
deepseekcoder7b,int_cmp,c,java,1.0
magicoder7b,int_cmp,go,rs,1.0
codeqwen,int_cmp,c,rs,0.0
magicoder7b,int_cmp,py,go,1.0
magicoder7b,int_cmp,java,rs,0.0
qwen2.5coder2b,int_cmp,py,rs,1.0
deepseekcoder7b,int_cmp,c,cpp,1.0
codeqwen,int_cmp,java,js,1.0
granitecode3b,int_cmp,java,go,1.0
dolphincoder7b,int_cmp,js,cpp,1.0
dolphincoder7b,int_cmp,go,c,1.0
qwen2.5coder7b,int_cmp,cpp,go,1.0
yicoder2b,int_cmp,rs,js,1.0
deepseekcoder7b,int_cmp,js,c,1.0
codeqwen,int_cmp,js,c,1.0
dolphincoder7b,int_cmp,java,cpp,1.0
yicoder2b,int_cmp,go,rs,1.0
qwen2.5coder7b,int_cmp,cpp,rs,1.0
codeqwen,int_factors,js,c,1.0
codeqwen,int_factors,py,rs,1.0
codellama7b,int_factors,cpp,rs,1.0
codeqwen,int_factors,rs,py,1.0
codellama7b,int_factors,py,go,1.0
deepseekcoder7b,int_factors,js,go,1.0
deepseekcoder7b,int_factors,py,java,1.0
granitecode8b,int_factors,c,java,1.0
yicoder9b,int_factors,c,java,1.0
deepseekcoderv2,int_factors,rs,c,1.0
codeqwen,int_factors,java,cpp,1.0
stablecode,int_factors,c,js,1.0
magicoder7b,int_factors,js,c,1.0
deepseekcoder7b,int_factors,py,c,1.0
codegeex4,int_factors,go,rs,1.0
codegeex4,int_factors,java,cpp,1.0
qwen2.5coder7b,int_factors,c,rs,1.0
codegemma7b,int_factors,js,rs,1.0
magicoder7b,int_factors,java,go,1.0
codellama7b,int_factors,js,rs,1.0
qwen2.5coder2b,int_factors,rs,java,1.0
qwen2.5coder7b,int_factors,cpp,go,1.0
dolphincoder7b,int_factors,py,js,1.0
yicoder9b,int_factors,java,c,1.0
qwen2.5coder2b,int_factors,py,rs,1.0
codegeex4,int_factors,go,java,0.0
yicoder9b,int_factors,py,cpp,1.0
qwen2.5coder7b,int_factors,c,go,1.0
qwen2.5coder2b,int_factors,cpp,go,1.0
granitecode3b,int_factors,c,go,0.0
codegemma7b,int_factors,js,go,1.0
deepseekcoderv2,int_factors,go,java,1.0
qwen2.5coder2b,int_factors,cpp,c,1.0
granitecode8b,int_factors,c,rs,1.0
codeqwen,int_factors,java,rs,1.0
qwen2.5coder7b,int_factors,c,java,1.0
yicoder9b,int_factors,java,rs,1.0
codegemma7b,int_factors,c,rs,1.0
granitecode8b,int_factors,py,cpp,1.0
yicoder2b,int_factors,js,go,1.0
codegemma7b,int_factors,go,rs,1.0
granitecode8b,int_factors,js,go,1.0
granitecode3b,int_factors,js,go,1.0
granitecode3b,int_factors,java,rs,0.0
codellama7b,int_factors,rs,java,1.0
granitecode8b,int_factors,java,rs,1.0
dolphincoder7b,int_factors,js,cpp,1.0
qwen2.5coder7b,int_factors,cpp,rs,1.0
codellama7b,int_factors,js,go,1.0
qwen2.5coder7b,int_factors,js,rs,1.0
deepseekcoderv2,int_factors,rs,go,1.0
qwen2.5coder7b,int_factors,py,rs,1.0
codegeex4,int_factors,go,cpp,1.0
codegemma7b,int_factors,java,cpp,1.0
codegemma7b,int_factors,js,c,1.0
deepseekcoderv2,int_factors,py,go,1.0
codegeex4,int_factors,java,rs,1.0
deepseekcoder7b,int_factors,go,cpp,1.0
yicoder2b,int_factors,py,rs,1.0
qwen2.5coder2b,int_factors,java,go,1.0
deepseekcoder7b,int_factors,cpp,go,1.0
magicoder7b,int_factors,py,rs,1.0
qwen2.5coder2b,int_factors,js,rs,1.0
granitecode3b,int_factors,go,py,0.0
yicoder9b,int_factors,c,go,1.0
codellama7b,int_factors,cpp,go,1.0
granitecode8b,int_factors,rs,go,1.0
qwen2.5coder7b,int_factors,py,c,1.0
qwen2.5coder7b,int_factors,java,cpp,1.0
codeqwen,int_factors,rs,go,1.0
granitecode3b,int_factors,java,go,1.0
codegemma7b,int_factors,rs,cpp,1.0
deepseekcoder7b,int_factors,c,java,1.0
dolphincoder7b,int_factors,js,java,1.0
yicoder9b,logic_ops,py,rs,1.0
dolphincoder7b,logic_ops,js,go,1.0
magicoder7b,logic_ops,go,c,1.0
codegeex4,logic_ops,c,cpp,1.0
codeqwen,logic_ops,rs,go,1.0
deepseekcoder7b,logic_ops,js,rs,1.0
magicoder7b,logic_ops,js,c,1.0
yicoder9b,logic_ops,cpp,rs,1.0
codegeex4,logic_ops,rs,py,1.0
dolphincoder7b,logic_ops,c,py,1.0
codellama7b,logic_ops,rs,c,1.0
magicoder7b,logic_ops,java,rs,1.0
qwen2.5coder7b,logic_ops,js,rs,1.0
granitecode3b,logic_ops,js,rs,1.0
codellama7b,logic_ops,cpp,rs,1.0
qwen2.5coder2b,logic_ops,py,rs,1.0
qwen2.5coder7b,logic_ops,py,rs,1.0
deepseekcoder7b,logic_ops,py,go,1.0
stablecode,logic_ops,py,cpp,1.0
codellama7b,logic_ops,py,rs,1.0
dolphincoder7b,logic_ops,java,go,1.0
magicoder7b,logic_ops,py,go,1.0
magicoder7b,logic_ops,c,cpp,1.0
qwen2.5coder2b,logic_ops,rs,c,1.0
granitecode3b,logic_ops,cpp,rs,1.0
dolphincoder7b,logic_ops,cpp,go,1.0
codegeex4,logic_ops,java,c,1.0
yicoder2b,logic_ops,py,cpp,1.0
stablecode,logic_ops,java,go,1.0
dolphincoder7b,logic_ops,rs,go,1.0
qwen2.5coder2b,logic_ops,java,rs,1.0
codellama7b,logic_ops,c,rs,1.0
dolphincoder7b,logic_ops,js,cpp,1.0
dolphincoder7b,logic_ops,java,rs,1.0
codeqwen,logic_ops,java,go,1.0
deepseekcoder7b,logic_ops,java,c,1.0
yicoder2b,logic_ops,go,rs,1.0
deepseekcoderv2,logic_ops,rs,py,1.0
magicoder7b,logic_ops,py,cpp,1.0
granitecode3b,logic_ops,py,rs,1.0
granitecode8b,logic_ops,go,rs,1.0
granitecode3b,logic_ops,py,c,0.0
dolphincoder7b,logic_ops,c,cpp,1.0
granitecode3b,logic_ops,go,rs,1.0
codegemma7b,logic_ops,py,rs,1.0
codeqwen,logic_ops,go,java,1.0
codellama7b,logic_ops,java,rs,1.0
dolphincoder7b,logic_ops,js,rs,1.0
magicoder7b,logic_ops,cpp,rs,1.0
codeqwen,logic_ops,js,rs,1.0
codegemma7b,logic_ops,js,rs,1.0
granitecode3b,logic_ops,js,c,1.0
granitecode8b,logic_ops,cpp,rs,1.0
magicoder7b,logic_ops,py,rs,1.0
deepseekcoder7b,logic_ops,rs,go,1.0
dolphincoder7b,logic_ops,go,cpp,1.0
codeqwen,logic_ops,java,cpp,1.0
deepseekcoder7b,logic_ops,js,cpp,1.0
yicoder9b,logic_ops,java,rs,1.0
yicoder9b,logic_ops,java,go,1.0
magicoder7b,logic_ops,cpp,c,1.0
codellama7b,logic_ops,go,rs,1.0
granitecode3b,logic_ops,c,rs,1.0
qwen2.5coder7b,logic_ops,js,java,0.0
codegemma7b,logic_ops,c,rs,1.0
yicoder9b,logic_ops,c,rs,1.0
yicoder9b,logic_ops,js,rs,1.0
yicoder2b,logic_ops,c,go,1.0
dolphincoder7b,logic_ops,c,go,1.0
yicoder2b,logic_ops,java,go,1.0
yicoder2b,logic_ops,cpp,go,1.0
granitecode8b,logic_ops,java,rs,1.0
